row.names;v_rouge;v_blanche;oeufs;lait;poisson;cereales;feculents;f_secs;fruits_leg;total
Albanie;10;1;1;9;0;42;1;6;2;72
Autriche;9;14;4;20;2;28;4;1;4;86
Belgique;14;9;4;18;5;27;6;2;4;89
Bulgarie;8;6;2;8;1;57;1;4;4;91
Tchecoslovaquie;10;11;3;13;2;34;5;1;4;83
Danemark;11;11;4;25;10;22;5;1;2;91
Allemagne-Est;8;12;4;11;5;25;7;1;4;77
Finlande;10;5;3;34;6;26;5;1;1;91
France;18;10;3;20;6;28;5;2;7;99
Grece;10;3;3;18;6;42;2;8;7;99
Hongrie;5;12;3;10;0;40;4;5;4;83
Irlande;14;10;5;26;2;24;6;2;3;92
Italie;9;5;3;14;3;37;2;4;7;84
Pays-Bas;10;14;4;23;3;22;4;2;4;86
Norvege;9;5;3;23;10;23;5;2;3;83
Pologne;7;10;3;19;3;36;6;2;7;93
Portugal;6;4;1;5;14;27;6;5;8;76
Roumanie;6;6;2;11;1;50;3;5;3;87
Espagne;7;3;3;9;7;29;6;6;7;77
Suede;10;8;4;25;8;20;4;1;2;82
Suisse;13;10;3;24;2;26;3;2;5;88
Royaume-Uni;17;6;5;21;4;24;5;3;3;88
URSS;9;5;2;17;3;44;6;3;3;92
Allemagne-Ouest;11;13;4;19;3;19;5;2;4;80
Yougoslavie;4;5;1;10;1;56;3;6;3;89
